"Function","CPU Time: Total","CPU Time: Self","Instructions Retired: Total","Instructions Retired: Self","Microarchitecture Usage: Total","Microarchitecture Usage: Self","Module","Function (Full)","Source File","Start Address"
"inv_wavelet_64x64_avx2","0.552","0.0915556","2784000000","515200000","0.388634","0.520481","xavs2","inv_wavelet_64x64_avx2","intrinsic_idct_avx2.c","0x102585"
"cu_get_neighbors","0.482667","0.088","3404800000","492800000","0.464318","0.399516","xavs2","cu_get_neighbors","rdo.c","0x29d5c"
"lf_set_edge_filter_param","0.0906667","0.0871111","244800000","216000000","0.173554","0.168992","xavs2","lf_set_edge_filter_param","filter_deblock.c","0x8cfd"
"xavs2_pixel_sad_64x64_avx2","0.0862222","0.0862222","326400000","326400000","0.197478","0.197478","xavs2","xavs2_pixel_sad_64x64_avx2","[Unknown]","0x198c40"
"cu_recon_intra_luma","0.117333","0.0853333","662400000","502400000","0.363657","0.395221","xavs2","cu_recon_intra_luma","rdo.c","0x25502"
"xavs2_get_mv_predictors_bskip","0.299556","0.0853333","1571200000","747200000","0.243914","0.280435","xavs2","xavs2_get_mv_predictors_bskip","md_inter.c","0x846d7"
"xavs2_lcu_write","0.182222","0.0853333","723200000","257600000","0.255682","0.173438","xavs2","xavs2_lcu_write","aec.c","0x66735"
"xavs2_pixel_ssd_4x4_mmx","0.0835556","0.0835556","769600000","769600000","0.0710228","0.0710228","xavs2","xavs2_pixel_ssd_4x4_mmx","[Unknown]","0x1ad6a0"
"_mm256_shuffle_epi8","0.0826667","0.0826667","385600000","385600000","0.219156","0.219156","xavs2","_mm256_shuffle_epi8","avx2intrin.h","0x11003b"
"xavs2_blockcopy_ss_16x16_avx","0.0826667","0.0826667","224000000","224000000","0.0767337","0.0767337","xavs2","xavs2_blockcopy_ss_16x16_avx","[Unknown]","0x122da0"
"xavs2_intra_pred_plane_avx","0.120889","0.0817778","972800000","721600000","0.533861","0.429753","xavs2","xavs2_intra_pred_plane_avx","intrinsic_intra-pred_avx2.c","0x113184"
"xavs2_get_neighbor_cbp_y","0.147556","0.0808889","1112000000","652800000","0.311338","0.228311","xavs2","xavs2_get_neighbor_cbp_y","block_info.c","0x402f4"
"biari_encode_symbol_fastrdo","0.0844444","0.0808889","337600000","320000000","0.390894","0.368853","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x77fdc"
"aec_get_shift","0.0808889","0.0808889","304000000","304000000","0.165017","0.165017","xavs2","aec_get_shift","aec.c","0x5aaab"
"cu_get_neighbor_temporal","0.08","0.08","457600000","457600000","0.319102","0.319102","xavs2","cu_get_neighbor_temporal","rdo.c","0x2a1dc"
"xavs2_intra_pred_dc_avx","0.0862222","0.08","440000000","390400000","0.282664","0.323034","xavs2","xavs2_intra_pred_dc_avx","intrinsic_intra-pred_avx2.c","0x112faf"
"aec_write_last_coeff_pos","0.0791111","0.0791111","406400000","406400000","0.379102","0.379102","xavs2","aec_write_last_coeff_pos","aec.c","0x637b3"
"xavs2_pixel_satd_16x32_avx2","0.0782222","0.0782222","576000000","576000000","0.397082","0.397082","xavs2","xavs2_pixel_satd_16x32_avx2","[Unknown]","0x1a8b70"
"xavs2_blockcopy_pp_4x4_sse2","0.0782222","0.0782222","454400000","454400000","0.414326","0.414326","xavs2","xavs2_blockcopy_pp_4x4_sse2","[Unknown]","0x11d6f0"
"tu_quant_forward","0.0773333","0.0773333","425600000","425600000","0.323154","0.323154","xavs2","tu_quant_forward","rdo.c","0x24e97"
"tu_recon_inter_luma","0.136889","0.0764444","731200000","416000000","0.277358","0.30242","xavs2","tu_recon_inter_luma","rdo.c","0x285e4"
"xavs2_pixel_sad_x4_64x64_avx2","0.0746667","0.0746667","715200000","715200000","0.3","0.3","xavs2","xavs2_pixel_sad_x4_64x64_avx2","[Unknown]","0x166900"
"scale_mv_skip","0.0746667","0.0746667","454400000","454400000","0.438349","0.438349","xavs2","scale_mv_skip","predict.h","0x1c127"
"scale_mv_skip","0.0746667","0.0746667","492800000","492800000","0.368325","0.368325","xavs2","scale_mv_skip","predict.h","0x1c5df"
"rdo_get_left_bits","0.0728889","0.0728889","318400000","318400000","0.265087","0.265087","xavs2","rdo_get_left_bits","rdo.c","0x24ba0"
"xavs2_blockcopy_ss_64x64_avx","0.0728889","0.0728889","67200000","67200000","0.0909092","0.0909092","xavs2","xavs2_blockcopy_ss_64x64_avx","[Unknown]","0x124800"
